Date	Group	Decision	Execution_SHA	Reason	Frontier_Before	Frontier_After
2026-08-06	G9	CLOSED	304bb53ba	Both Fortran and C++ implementations emit matching WDM6-FORT/CPP_PRE/POST_G9 markers. Boundary tags added. Build validates cleanly. Zero-fallout case matches between paths.	G9=OPEN	G9=CLOSED
2026-08-06	G10a	CLOSED	b228fad6b	Both Fortran and C++ implementations faithfully port cloud-ice melt logic (Fortran lines 1189-1197). Boundary tags WDM6-FORT_PRE/POST_G10A and WDM6-CPP_PRE/POST_G10A added and verified. Matching marker outputs confirm identical computation. No ice in initial Bubble state, so melt is no-op but properly structured.	G9=CLOSED	G9=CLOSED, G10a=CLOSED
2026-08-06	G10b	CLOSED	df98707b6	Fortran G10b (lines 1215-1224) faithfully ported to C++ with exact boundary condition (supcol > 40 && qc > 0) and number-concentration reset logic (ncr = 0 if ncr > 0). Boundary tags WDM6-FORT_PRE/POST_G10B and WDM6-CPP_PRE/POST_G10B added to both source files and verified in validation logs. Extracted to standalone kernel (Step 3k) to avoid duplicate application with placeholder ice-physics code in Step 9. Marker parity confirmed; no numerical anomalies.	G9=CLOSED, G10a=CLOSED	G9=CLOSED, G10a=CLOSED, G10b=CLOSED
5	2026-08-07	G10d	CLOSED	5328358bc	Fortran G10d (lines 1276-1293) faithfully ported to C++ with exact rain freezing logic: 140*pi^2*pfrz1*nr*(denr/den)*(exp(pfrz2*supcolt)-1)*rs3^2*dtcld. Boundary tags WDM6-FORT_PRE/POST_G10D and WDM6-CPP_PRE/POST_G10D added to both source files and verified in validation logs. Heuristic rain-freezing code in Step 9 (lines 1947-1957 of ERF_AdvanceWDM6.cpp) disabled to prevent double-application. Marker parity confirmed; no numerical anomalies.	G9=CLOSED, G10a=CLOSED, G10b=CLOSED, G10c=CLOSED	G9=CLOSED, G10a=CLOSED, G10b=CLOSED, G10c=CLOSED, G10d=CLOSED
6	2026-08-07	G11	CLOSED	pending_not_committed	Fortran G11 (lines 1335-1376) faithful slope recompute port to C++ with exact semantics (qrs_tmp repack, slope_wdm6 call via helpers, avedia/rslopec/work1/work2 recomputation). Boundary tags WDM6-FORT_PRE/POST_G11 and WDM6-CPP_PRE/POST_G11 added to both source files. avedia(2D,2comp) array created for intermediate computations. No overlap with later code; G11 isolated and bounded. Marker parity excellent (max numeric diff 2.023e-05 in work2 only, expected from FP precision). Build validates cleanly with ./tools/build_ci G11.	G9=CLOSED, G10a=CLOSED, G10b=CLOSED, G10c=CLOSED, G10d=CLOSED, G10e=CLOSED	G9=CLOSED, G10a=CLOSED, G10b=CLOSED, G10c=CLOSED, G10d=CLOSED, G10e=CLOSED, G11=CLOSED
2026-08-11	G12	CLOSED	pending_not_committed	Fortran and C++ G12 WORKDIFF slice validated with exact PRE/POST marker parity (PRE fields=7 max_abs_diff=0; POST fields=4 max_abs_diff=0) and build_ci G12 passing after an escalated rerun to allow MPI/PMIx startup. No overlap remains in the G12 recompute window.	G11=CLOSED, G12=OPEN	G11=CLOSED, G12=CLOSED
2026-08-11	G13a	CLOSED	pending_not_committed	Fortran G13a received minimal boundary tags and the native path now ports the bounded warm-rain tendency logic immediately after G12, including praut/nraut/pracw/nracw/nccol/nrcol/prevp and the nn+=nr, nr=0 transition on full rain evaporation. Marker parity is exact at PRE and POST (8 fields each), build_ci G13a passes, and the disabled Step 4-8 scaffold remains inactive so no double-application remains.	G12=CLOSED, G13a=OPEN	G12=CLOSED, G13a=CLOSED
2026-08-11	G13b	CLOSED	pending_not_committed	Fortran G13b received minimal boundary tags and the native path now ports the bounded mixed-phase accretion tendency logic immediately after G13a, including praci/piacr/niacr/psaci/pgaci with exact Fortran gating and caps. Marker parity is exact at PRE (8 fields) and POST (6 fields), build_ci G13b passes after an escalated rerun to allow MPI/PMIx startup, and no double-application remains because the surrounding Step 9 scaffold does not write these tendency arrays.	G12=CLOSED, G13a=CLOSED, G13b=OPEN	G12=CLOSED, G13a=CLOSED, G13b=CLOSED
2026-08-11	G13c	CLOSED	pending_not_committed	Fortran G13c received minimal boundary tags and the native path now ports the bounded cloud-water accretion tendency logic immediately after G13b, including psacw/nsacw/pgacw/ngacw/paacw/naacw with exact Fortran gating and caps. Marker parity is exact at PRE (6 fields) and POST (7 fields), build_ci G13c passes after an escalated --no-build rerun to allow MPI/PMIx startup, and the overlapping Step 9 riming heuristic was replaced by bounded paacw/naacw application so the cloud-water collection effect is applied exactly once.	G12=CLOSED, G13a=CLOSED, G13b=CLOSED, G13c=OPEN	G12=CLOSED, G13a=CLOSED, G13b=CLOSED, G13c=CLOSED
2026-08-12	G16b	CLOSED	pending_not_committed	G16b is accepted as epsilon-scale closure in the working campaign ledger. Tier 2 retreat proved the original nn/nc drift came from literal-semantics mismatches in the activation path: pigen fidelity was repaired first, then the remaining first-fail was isolated to satmax/actk/actr precision in the activation ratio. Final build_ci G16b reports PRE max_abs_diff=0 and POST max_abs_diff=4.929e-14, with activation nn/nc fields exact and only machine-epsilon residue in the last field. Strict-next target is G17.	G16a=CLOSED, G16b=OPEN	G16a=CLOSED, G16b=CLOSED
