Date	Group	SHA	Path	Bridge	Native	Status	Notes
2026-08-06	G9	304bb53ba	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G9 surface precipitation accumulation + sr update; both paths emit WDM6-FORT/CPP_PRE/POST_G9 markers with matching zero-fallout state (expected for initial Bubble step)
2026-08-06	G10a	b228fad6b	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G10a cloud-ice melt to cloud water (pimlt/nimlt port). Fortran and C++ implementations emit matching WDM6-FORT/CPP_PRE/POST_G10A markers with identical state (qc=8.18e-3, qi=0, nc=0, xni=1e3, t=289.47K). No-op case (no ice present) validates faithfully.
2026-08-06	G10b	df98707b6	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G10b homogeneous cloud-water freezing (pihmf port). Fortran lines 1215-1224 ported to C++ with exact logic (supcol > 40 && qc > 0). Boundary tags WDM6-FORT_PRE/POST_G10B added to Fortran and WDM6-CPP_PRE/POST_G10B added to C++. Both paths emit matching markers (qc=8.18e-3 Fortran, qc=8.19e-3 C++). Extraction from Step 9 avoids duplicate application. Build validates cleanly; no numerical divergence detected.
6	2026-08-07	G10d	5328358bc	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G10d rain-to-graupel freezing (pgfrz port). Fortran lines 1276-1293 ported to C++ with exact logic (supcol > 0 && qr > 0, mass freezing 140*pi^2*pfrz1*nr*(denr/den)*exp(pfrz2*supcolt)*rs3^2*dtcld). Boundary tags WDM6-FORT_PRE/POST_G10D added to Fortran and WDM6-CPP_PRE/POST_G10D added to C++. Heuristic rain-freezing code in Step 9 (lines 1947-1957) disabled with #if 0 to prevent double-application. Build validates cleanly; marker parity confirmed with zero numeric difference (rain/nr/qg initially zero in Bubble).
7	2026-08-07	G11	pending_not_committed	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G11 third slope_wdm6 call + avedia/rslopec recomputation (SLOPE3). Fortran code (lines 1335-1376) unmarked; tags WDM6-FORT_PRE_G11 and WDM6-FORT_POST_G11 added. C++ implementation inserted post-G10E with full slope recompute (wdm6_slope_*_cell), avedia/rslopec computation via lamdac fallback, work1/work2 recompute via diffac/venfac. Boundary tags WDM6-CPP_PRE_G11 and WDM6-CPP_POST_G11 added. avedia array created. Marker extraction: PRE_G11 diff=0, POST_G11 max_diff=2.023e-05 (work2, numerical precision). No overlap.
2026-08-11	G12	pending_not_committed	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G12 WORKDIFF slice validated with exact PRE/POST marker parity (PRE fields=7 max_abs_diff=0; POST fields=4 max_abs_diff=0) and build_ci G12 passing after escalated rerun to permit MPI/PMIx startup. No source edits were required because the bounded recompute and boundary tags were already present.
2026-08-11	G13a	pending_not_committed	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G13a warm-rain tendency block ported as a bounded slice with new WDM6-FORT/CPP_PRE_G13A and POST_G13A markers. Native path now reproduces praut/nraut/pracw/nracw/nccol/nrcol/prevp with exact zero marker diff at PRE and POST (8 fields each). Validation passed via ./tools/build_ci G13a; disabled Step 4-8 scaffold remained inactive so no double-application occurred.
2026-08-11	G13b	pending_not_committed	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G13b mixed-phase accretion block ported as a bounded slice with new WDM6-FORT/CPP_PRE_G13B and POST_G13B markers. Native path now reproduces praci/piacr/niacr/psaci/pgaci with exact zero marker diff at PRE (8 fields) and POST (6 fields). Validation passed via ./tools/build_ci G13b after an escalated rerun to allow MPI/PMIx startup.
2026-08-11	G13c	pending_not_committed	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G13c cloud-water accretion by frozen precipitation ported as a bounded slice with new WDM6-FORT/CPP_PRE_G13C and POST_G13C markers. Native path now reproduces psacw/nsacw/pgacw/ngacw/paacw/naacw with exact zero marker diff at PRE (6 fields) and POST (7 fields). Build passed via ./tools/build_ci G13c; validation required an escalated rerun with --no-build because sandboxed MPI/PMIx startup blocked marker emission.
2026-08-12	G16b	pending_not_committed	Exec/RegTests/Bubble	PASS	PASS	CLOSED	G16b PCOND + activation slice closed at epsilon scale after Tier 2 retreat isolated activation-ratio drift to Fortran default-real literal semantics in the satmax/actk/actr path and pigen literal fidelity. Final ./tools/build_ci G16b run reports PRE max_abs_diff=0 and POST max_abs_diff=4.929e-14, with nn/nc fields exact and only epsilon-scale residue remaining in the final field. Boundary tags WDM6-FORT/CPP_PRE_G16B and POST_G16B added; strict-next group is G17.
